"reporterCode","flowCode","partnerCode","cmdCode","CIFValue","FOBValue","primaryValue","geoAreaDescription","regional.grouping","cmdCodeDescription.x","flowCode2","cmd2Code","cmd2CodeDescription"
360,"M",144,30119,4197,NA,4197,"Sri Lanka","Asia","Fish; live, ornamental, other than freshwater","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",144,90210,199356,NA,199356,"Sri Lanka","Asia","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import",9,"Coffee, tea, mate and spices"
360,"M",144,90240,95045,NA,95045,"Sri Lanka","Asia","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import",9,"Coffee, tea, mate and spices"
360,"M",144,90611,118725,NA,118725,"Sri Lanka","Asia","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import",9,"Coffee, tea, mate and spices"
360,"M",144,91099,195076,NA,195076,"Sri Lanka","Asia","Spices; n.e.c. in heading no. 0910","Import",9,"Coffee, tea, mate and spices"
360,"M",144,110412,18990,NA,18990,"Sri Lanka","Asia","Cereal grains; rolled or flaked, of oats","Import",11,"Products of the milling industry; malt, starches, inulin, wheat gluten"
360,"M",144,200870,3,NA,3,"Sri Lanka","Asia","Fruit; peaches, including nectarines, prepared or preserved in ways n.e.c. in heading no. 2007 and 2008, whether or not containing added sugar, other sweetening matter or spirit","Import",20,"Preparations of vegetables, fruit, nuts or other parts of plants"
360,"M",144,200899,3,NA,3,"Sri Lanka","Asia","Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008","Import",20,"Preparations of vegetables, fruit, nuts or other parts of plants"
360,"M",144,210390,111,NA,111,"Sri Lanka","Asia","Sauces and preparations therefor; mixed condiments and mixed seasonings","Import",21,"Miscellaneous edible preparations"
360,"M",144,210690,90151,NA,90151,"Sri Lanka","Asia","Food preparations; n.e.c. in item no. 2106.10","Import",21,"Miscellaneous edible preparations"
360,"M",144,240110,83035,NA,83035,"Sri Lanka","Asia","Tobacco, (not stemmed or stripped)","Import",24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body"
360,"M",144,283220,12688,NA,12688,"Sri Lanka","Asia","Sulphites; other than of sodium","Import",28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
360,"M",144,284290,98,NA,98,"Sri Lanka","Asia","Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides","Import",28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
360,"M",144,290611,1749,NA,1749,"Sri Lanka","Asia","Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol","Import",29,"Organic chemicals"
360,"M",144,291811,383,NA,383,"Sri Lanka","Asia","Acids; carboxylic acids, (with alcohol function but without other oxygen function), lactic acid, its salts and esters","Import",29,"Organic chemicals"
360,"M",144,291814,5820,NA,5820,"Sri Lanka","Asia","Acids; carboxylic acids, (with alcohol function but without other oxygen function), citric acid","Import",29,"Organic chemicals"
360,"M",144,300510,53,NA,53,"Sri Lanka","Asia","Dressings, adhesive; and other articles having an adhesive layer, packed for retail sale for medical, surgical, dental or veterinary purposes","Import",30,"Pharmaceutical products"
360,"M",144,310551,1231,NA,1231,"Sri Lanka","Asia","Fertilizers, mineral or chemical; containing nitrates and phosphates","Import",31,"Fertilizers"
360,"M",144,320416,16923,NA,16923,"Sri Lanka","Asia","Dyes; reactive dyes and preparations based thereon","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,320619,1357,NA,1357,"Sri Lanka","Asia","Colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,320710,10600,NA,10600,"Sri Lanka","Asia","Pigments; prepared pigments, opacifiers, colours and similar preparations","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,320890,18584,NA,18584,"Sri Lanka","Asia","Paints and varnishes; based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,320910,10129,NA,10129,"Sri Lanka","Asia","Paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,321519,112,NA,112,"Sri Lanka","Asia","Ink; for printing, other than black, whether or not concentrated or solid","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
360,"M",144,321590,900,NA,900,"Sri Lanka","Asia","Ink; writing, drawing and other inks, n.e.c. in heading no. 3215, whether or not concentrated or solid","Import",32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks"
