"reporterCode","flowCode","partnerCode","cmdCode","CIFValue","FOBValue","primaryValue","geoAreaDescription","regional.grouping","cmdCodeDescription.x","flowCode2","cmd2Code","cmd2CodeDescription"
360,"M",156,10619,600,NA,600,"China","Asia","Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares","Import",1,"Animals; live"
360,"M",156,10620,156628,NA,156628,"China","Asia","Reptiles; live (including snakes and turtles)","Import",1,"Animals; live"
360,"M",156,10633,363,NA,363,"China","Asia","Birds; live, ostriches; emus (Dromaius novaehollandiae)","Import",1,"Animals; live"
360,"M",156,20319,51,NA,51,"China","Asia","Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled","Import",2,"Meat and edible meat offal"
360,"M",156,30111,42428,NA,42428,"China","Asia","Fish; live, ornamental, freshwater","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30323,231000,NA,231000,"China","Asia","Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30326,66960,NA,66960,"China","Asia","Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30355,551940,NA,551940,"China","Asia","Fish; frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30359,1976196,NA,1976196,"China","Asia","Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30469,73120,NA,73120,"China","Asia","Fish fillets; frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30475,9960,NA,9960,"China","Asia","Fish fillets; frozen, Alaska pollock (Theragra chalcogramma)","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30487,155000,NA,155000,"China","Asia","Fish fillets; frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30499,392702,NA,392702,"China","Asia","Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30572,5545,NA,5545,"China","Asia","Fish; edible offal, fish heads, tails and maws","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30617,103500,NA,103500,"China","Asia","Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30633,17441,NA,17441,"China","Asia","Crustaceans; live, fresh or chilled, crabs, whether in shell or not","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30711,11791,NA,11791,"China","Asia","Molluscs; oysters, whether in shell or not, live, fresh or chilled","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30722,664005,NA,664005,"China","Asia","Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, frozen","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30732,31055,NA,31055,"China","Asia","Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, frozen","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30743,12496036,NA,12496036,"China","Asia","Molluscs; cuttle fish and squid, whether in shell or not, frozen","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30752,73344,NA,73344,"China","Asia","Molluscs; octopus (Octopus spp.), frozen","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
360,"M",156,30771,2175,NA,2175,"China","Asia","Molluscs; clams, cockles and ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, live, fresh or chilled","Import",3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
